Key,All,Sketch,SketchMeanAbsEr,SketchMeanRelEr
chapitre,12,87.0,75.0,6.25
premier,8,75.0,67.0,8.375
fond,8,67.0,59.0,7.375
terrier,4,127.0,123.0,30.75
alice,395,478.0,83.0,0.21
assise,6,97.0,91.0,15.167
auprès,8,120.0,112.0,14.0
sœur,10,174.0,164.0,16.4
gazon,3,143.0,140.0,46.667
commençait,7,70.0,63.0,9.0
ennuyer,1,78.0,77.0,77.0
rester,7,79.0,72.0,10.286
rien,54,142.0,88.0,1.63
jeté,1,70.0,69.0,69.0
yeux,41,124.0,83.0,2.024
livre,6,94.0,88.0,14.667
lisait,2,91.0,89.0,44.5
quoi,25,120.0,95.0,3.8
images,3,176.0,173.0,57.667
dialogues,2,122.0,120.0,60.0
belle,9,76.0,67.0,7.444
avance,2,76.0,74.0,37.0
pensait,10,92.0,82.0,8.2
causeries,1,329.0,328.0,328.0
mise,2,107.0,105.0,52.5
réfléchir,4,57.0,53.0,13.25
tant,14,143.0,129.0,9.214
bien,219,329.0,110.0,0.502
mal,14,67.0,53.0,3.786
chaleur,1,130.0,129.0,129.0
jour,15,162.0,147.0,9.8
endormait,1,70.0,69.0,69.0
rendait,1,107.0,106.0,106.0
lourde,1,155.0,154.0,154.0
demandant,3,181.0,178.0,59.333
plaisir,6,98.0,92.0,15.333
couronne,4,189.0,185.0,46.25
marguerites,1,67.0,66.0,66.0
valait,1,70.0,69.0,69.0
peine,20,181.0,161.0,8.05
lever,4,94.0,90.0,22.5
cueillir,1,94.0,93.0,93.0
fleurs,6,120.0,114.0,19.0
coup,19,133.0,114.0,6.0
lapin,51,121.0,70.0,1.373
blanc,23,162.0,139.0,6.043
roses,4,155.0,151.0,37.75
passa,7,68.0,61.0,8.714
près,33,289.0,256.0,7.758
étonnant,1,123.0,122.0,122.0
trouva,27,142.0,115.0,4.259
extraordinaire,4,189.0,185.0,46.25
entendre,14,109.0,95.0,6.786
parler,23,155.0,132.0,5.739
disait,13,137.0,124.0,9.538
ah,15,329.0,314.0,20.933
arriverai,2,155.0,153.0,76.5
tard,7,108.0,101.0,14.429
songeant,1,92.0,91.0,91.0
après,29,101.0,72.0,2.483
sembla,2,123.0,121.0,60.5
dû,3,57.0,54.0,18.0
étonner,2,162.0,160.0,80.0
moment,18,143.0,125.0,6.944
paru,2,92.0,90.0,45.0
naturel,3,120.0,117.0,39.0
cependant,14,137.0,123.0,8.786
vint,5,478.0,473.0,94.6
tirer,5,104.0,99.0,19.8
montre,6,78.0,72.0,12.0
gousset,2,162.0,160.0,80.0
regarda,15,189.0,174.0,11.6
puis,51,289.0,238.0,4.667
prit,19,124.0,105.0,5.526
courir,9,173.0,164.0,18.222
plus,98,176.0,78.0,0.796
sauta,2,134.0,132.0,66.0
pieds,26,123.0,97.0,3.731
frappée,2,134.0,132.0,66.0
idée,17,127.0,110.0,6.471
jamais,45,123.0,78.0,1.733
entraînée,1,93.0,92.0,92.0
curiosité,5,130.0,125.0,25.0
élança,1,124.0,123.0,123.0
traces,1,133.0,132.0,132.0
travers,8,162.0,154.0,19.25
champ,2,155.0,153.0,76.5
arriva,5,155.0,150.0,30.0
temps,50,117.0,67.0,1.34
voir,33,107.0,74.0,2.242
disparaître,4,101.0,97.0,24.25
large,5,181.0,176.0,35.2
trou,5,75.0,70.0,14.0
pied,11,519.0,508.0,46.182
haie,2,77.0,75.0,37.5
instant,19,101.0,82.0,4.316
poursuite,3,91.0,88.0,29.333
songer,2,174.0,172.0,86.0
sortirait,2,97.0,95.0,47.5
pendant,18,519.0,501.0,27.833
bout,19,143.0,124.0,6.526
chemin,11,143.0,132.0,12.0
allait,19,92.0,73.0,3.842
droit,8,65.0,57.0,7.125
tunnel,1,127.0,126.0,126.0
plongeait,1,67.0,66.0,66.0
perpendiculairement,1,94.0,93.0,93.0
façon,7,120.0,113.0,16.143
brusque,3,93.0,90.0,30.0
sentit,5,81.0,76.0,15.2
tomber,6,189.0,183.0,30.5
puits,9,79.0,70.0,7.778
grande,28,172.0,144.0,5.143
profondeur,2,67.0,65.0,32.5
pensé,1,138.0,137.0,137.0
retenir,3,121.0,118.0,39.333
choses,19,130.0,111.0,5.842
vraiment,14,91.0,77.0,5.5
profond,6,144.0,138.0,23.0
tombait,1,174.0,173.0,173.0
doucement,7,173.0,166.0,23.714
loisir,1,93.0,92.0,92.0
chute,4,80.0,76.0,19.0
regarder,15,94.0,79.0,5.267
autour,22,123.0,101.0,4.591
demander,10,127.0,117.0,11.7
étonnement,5,79.0,74.0,14.8
devenir,3,79.0,76.0,25.333
abord,27,122.0,95.0,3.519
savoir,26,181.0,155.0,5.962
faisait,13,172.0,159.0,12.231
sombre,2,54.0,52.0,26.0
ensuite,7,94.0,87.0,12.429
porta,2,155.0,153.0,76.5
parois,1,48.0,47.0,47.0
aperçut,14,144.0,130.0,9.286
garnies,2,67.0,65.0,32.5
armoires,2,126.0,124.0,62.0
étagères,1,173.0,172.0,172.0
çà,4,68.0,64.0,16.0
vit,10,94.0,84.0,8.4
pendues,2,93.0,91.0,45.5
clous,1,92.0,91.0,91.0
cartes,5,120.0,115.0,23.0
géographiques,1,174.0,173.0,173.0
passant,7,116.0,109.0,15.571
rayon,1,140.0,139.0,139.0
pot,3,173.0,170.0,56.667
confiture,1,61.0,60.0,60.0
portant,4,155.0,151.0,37.75
étiquette,2,176.0,174.0,87.0
marmelade,1,77.0,76.0,76.0
oranges,1,198.0,197.0,197.0
grand,31,117.0,86.0,2.774
regret,1,65.0,64.0,64.0
vide,1,140.0,139.0,139.0
osait,2,133.0,131.0,65.5
laisser,3,40.0,37.0,12.333
crainte,1,79.0,78.0,78.0
tuer,1,137.0,136.0,136.0
quelqu,6,109.0,103.0,17.167
arrangea,1,123.0,122.0,122.0
manière,12,172.0,160.0,13.333
déposer,1,76.0,75.0,75.0
certes,5,123.0,118.0,23.6
dit,416,519.0,103.0,0.248
pareille,4,38.0,34.0,8.5
moquerai,1,123.0,122.0,122.0
dégringoler,1,181.0,180.0,180.0
escalier,3,106.0,103.0,34.333
trouver,15,98.0,83.0,5.533
brave,1,44.0,43.0,43.0
chez,8,173.0,165.0,20.625
tomberais,1,55.0,54.0,54.0
toits,1,78.0,77.0,77.0
ferais,1,172.0,171.0,171.0
plainte,1,70.0,69.0,69.0
probable,3,82.0,79.0,26.333
tombe,6,115.0,109.0,18.167
finira,1,126.0,125.0,125.0
curieuse,5,137.0,132.0,26.4
combien,7,99.0,92.0,13.143
milles,3,107.0,104.0,34.667
déjà,9,138.0,129.0,14.333
faits,2,478.0,476.0,238.0
centre,1,120.0,119.0,119.0
terre,16,138.0,122.0,7.625
voyons,6,143.0,137.0,22.833
quatre,10,161.0,151.0,15.1
mille,6,117.0,111.0,18.5
semble,7,78.0,71.0,10.143
voyez,7,120.0,113.0,16.143
appris,3,75.0,72.0,24.0
leçons,11,61.0,50.0,4.545
bonne,16,167.0,151.0,9.438
occasion,6,87.0,81.0,13.5
parade,1,98.0,97.0,97.0
point,10,83.0,73.0,7.3
auditeur,1,143.0,142.0,142.0
exercice,1,78.0,77.0,77.0
répéter,8,126.0,118.0,14.75
leçon,2,104.0,102.0,51.0
oui,15,126.0,111.0,7.4
degré,1,137.0,136.0,136.0
latitude,2,140.0,138.0,69.0
longitude,2,143.0,141.0,70.5
trouve,3,93.0,90.0,30.0
moindre,10,65.0,55.0,5.5
voulait,5,55.0,50.0,10.0
dire,60,140.0,80.0,1.333
grands,8,76.0,68.0,8.5
mots,23,98.0,75.0,3.261
paraissaient,1,79.0,78.0,78.0
beaux,1,130.0,129.0,129.0
sonores,1,55.0,54.0,54.0
bientôt,27,172.0,145.0,5.37
reprit,9,329.0,320.0,35.556
allais,5,79.0,74.0,14.8
traverser,2,117.0,115.0,57.5
complétement,5,120.0,115.0,23.0
drôle,14,107.0,93.0,6.643
milieu,10,519.0,509.0,50.9
gens,15,83.0,68.0,4.533
marchent,1,77.0,76.0,76.0
tête,71,161.0,90.0,1.268
bas,18,85.0,67.0,3.722
antipathies,1,120.0,119.0,119.0
crois,20,138.0,118.0,5.9
fâchée,3,86.0,83.0,27.667
effet,15,75.0,60.0,4.0
eh,20,88.0,68.0,3.4
pays,3,64.0,61.0,20.333
pardon,7,140.0,133.0,19.0
madame,3,65.0,62.0,20.667
nouvelle,3,93.0,90.0,30.0
zemble,1,67.0,66.0,66.0
australie,1,55.0,54.0,54.0
essaya,6,99.0,93.0,15.5
révérence,3,172.0,169.0,56.333
air,48,181.0,133.0,2.771
dites,11,79.0,68.0,6.182
prendriez,2,173.0,171.0,85.5
petite,50,162.0,112.0,2.24
ignorante,1,155.0,154.0,154.0
pensera,1,78.0,77.0,77.0
dame,1,76.0,75.0,75.0
ferai,5,137.0,132.0,26.4
question,16,137.0,121.0,7.562
non,39,115.0,76.0,1.949
faut,26,137.0,111.0,4.269
verrai,1,75.0,74.0,74.0
écrit,5,82.0,77.0,15.4
quelque,36,173.0,137.0,3.806
part,9,120.0,111.0,12.333
faute,3,95.0,92.0,30.667
mieux,20,173.0,153.0,7.65
remit,8,108.0,100.0,12.5
dinah,16,329.0,313.0,19.562
remarquera,1,93.0,92.0,92.0
absence,3,70.0,67.0,22.333
soir,2,91.0,89.0,44.5
sûr,8,76.0,68.0,8.5
chat,32,86.0,54.0,1.688
pourvu,3,92.0,89.0,29.667
oublie,2,82.0,80.0,40.0
donner,3,122.0,119.0,39.667
jatte,1,120.0,119.0,119.0
lait,2,124.0,122.0,61.0
heure,14,138.0,124.0,8.857
thé,17,162.0,145.0,8.529
minette,1,65.0,64.0,64.0
souris,54,147.0,93.0,1.722
airs,2,189.0,187.0,93.5
peur,12,80.0,68.0,5.667
pourrais,6,87.0,81.0,13.5
attraper,3,140.0,137.0,45.667
chauve,1,107.0,106.0,106.0
ressemble,3,176.0,173.0,57.667
beaucoup,16,478.0,462.0,28.875
sais,15,143.0,128.0,8.533
chats,11,94.0,83.0,7.545
mangent,5,99.0,94.0,18.8
chauves,5,107.0,102.0,20.4
sommeil,1,198.0,197.0,197.0
commença,17,93.0,76.0,4.471
gagner,2,329.0,327.0,163.5
répétait,1,91.0,90.0,90.0
moitié,13,117.0,104.0,8.0
endormie,3,87.0,84.0,28.0
quelquefois,2,173.0,171.0,85.5
comprenez,15,173.0,158.0,10.533
puisqu,2,80.0,78.0,39.0
pouvait,25,95.0,70.0,2.8
répondre,4,162.0,158.0,39.5
questions,4,98.0,94.0,23.5
importait,1,162.0,161.0,161.0
poser,1,68.0,67.0,67.0
assoupissait,1,162.0,161.0,161.0
rêver,2,49.0,47.0,23.5
promenait,1,68.0,67.0,67.0
tenant,5,144.0,139.0,27.8
main,20,189.0,169.0,8.45
disant,10,44.0,34.0,3.4
sérieusement,2,77.0,75.0,37.5
dis,7,134.0,127.0,18.143
vérité,2,127.0,125.0,62.5
mangé,3,80.0,77.0,25.667
pouf,1,77.0,76.0,76.0
voilà,28,147.0,119.0,4.25
étendue,4,67.0,63.0,15.75
tas,1,80.0,79.0,79.0
fagots,1,173.0,172.0,172.0
feuilles,5,109.0,104.0,20.8
sèches,1,329.0,328.0,328.0
fini,9,167.0,158.0,17.556
vite,21,289.0,268.0,12.762
remet,1,98.0,97.0,97.0
regarde,3,68.0,65.0,21.667
noir,1,116.0,115.0,115.0
devant,6,126.0,120.0,20.0
long,16,137.0,121.0,7.562
passage,6,78.0,72.0,12.0
court,2,82.0,80.0,40.0
toutes,20,98.0,78.0,3.9
jambes,3,120.0,117.0,39.0
perdre,5,143.0,138.0,27.6
vent,3,127.0,124.0,41.333
arrive,7,130.0,123.0,17.571
tourne,1,70.0,69.0,69.0
coin,4,55.0,51.0,12.75
moustache,1,82.0,81.0,81.0
oreilles,3,161.0,158.0,52.667
tourné,1,138.0,137.0,137.0
disparu,8,116.0,108.0,13.5
salle,17,140.0,123.0,7.235
longue,8,93.0,85.0,10.625
basse,9,48.0,39.0,4.333
éclairée,1,127.0,126.0,126.0
rangée,3,120.0,117.0,39.0
lampes,1,68.0,67.0,67.0
plafond,4,98.0,94.0,23.5
portes,3,67.0,64.0,21.333
fermées,1,133.0,132.0,132.0
vainement,1,57.0,56.0,56.0
tenté,1,82.0,81.0,81.0
ouvrir,6,78.0,72.0,12.0
celles,2,120.0,118.0,59.0
côté,29,167.0,138.0,4.759
gauche,5,48.0,43.0,8.6
promena,1,86.0,85.0,85.0
tristement,9,93.0,84.0,9.333
beau,10,144.0,134.0,13.4
rencontra,2,81.0,79.0,39.5
table,22,120.0,98.0,4.455
trois,30,174.0,144.0,4.8
verre,6,140.0,134.0,22.333
massif,1,176.0,175.0,175.0
dessus,22,92.0,70.0,3.182
toute,28,126.0,98.0,3.5
clef,10,143.0,133.0,13.3
or,9,155.0,146.0,16.222
pensa,44,189.0,145.0,3.295
aussitôt,13,155.0,142.0,10.923
celle,7,85.0,78.0,11.143
hélas,5,120.0,115.0,23.0
serrures,1,91.0,90.0,90.0
grandes,2,189.0,187.0,93.5
put,5,120.0,115.0,23.0
toujours,14,88.0,74.0,5.286
aucune,6,91.0,85.0,14.167
second,3,78.0,75.0,25.0
tour,9,198.0,189.0,21.0
rideau,1,55.0,54.0,54.0
placé,2,76.0,74.0,37.0
derrière,10,98.0,88.0,8.8
trouvait,14,162.0,148.0,10.571
porte,34,162.0,128.0,3.765
quinze,2,138.0,136.0,68.0
pouces,6,133.0,127.0,21.167
serrure,1,67.0,66.0,66.0
joie,5,123.0,118.0,23.6
merveille,1,142.0,141.0,141.0
ouvrit,6,142.0,136.0,22.667
conduisait,1,93.0,92.0,92.0
étroit,2,81.0,79.0,39.5
rat,1,120.0,119.0,119.0
agenouilla,1,68.0,67.0,67.0
jetant,2,67.0,65.0,32.5
découvrit,3,122.0,119.0,39.667
ravissant,2,172.0,170.0,85.0
jardin,14,122.0,108.0,7.714
monde,23,87.0,64.0,2.783
oh,36,106.0,70.0,1.944
tardait,2,167.0,165.0,82.5
sortir,6,181.0,175.0,29.167
ténébreuse,1,38.0,37.0,37.0
errer,1,329.0,328.0,328.0
carrés,1,120.0,119.0,119.0
brillantes,1,107.0,106.0,106.0
fraîches,2,79.0,77.0,38.5
fontaines,2,79.0,77.0,38.5
passer,13,109.0,96.0,7.385
passerait,1,140.0,139.0,139.0
servirait,1,92.0,91.0,91.0
épaules,4,80.0,76.0,19.0
voudrais,17,174.0,157.0,9.235
faculté,1,54.0,53.0,53.0
fermer,2,82.0,80.0,40.0
télescope,4,44.0,40.0,10.0
pourrait,9,478.0,469.0,52.111
savais,4,99.0,95.0,23.75
prendre,15,174.0,159.0,10.6
arrivé,7,155.0,148.0,21.143
extraordinaires,4,75.0,71.0,17.75
croire,2,98.0,96.0,48.0
guère,5,65.0,60.0,12.0
impossibles,1,94.0,93.0,93.0
avançait,3,57.0,54.0,18.0
attendre,6,85.0,79.0,13.167
retourna,3,107.0,104.0,34.667
vers,24,162.0,138.0,5.75
espérant,4,67.0,63.0,15.75
presque,14,289.0,275.0,19.643
grimoire,3,115.0,112.0,37.333
donnant,2,98.0,96.0,48.0
règles,2,92.0,90.0,45.0
suivre,2,115.0,113.0,56.5
bouteille,10,176.0,166.0,16.6
cou,8,173.0,165.0,20.625
attachée,1,91.0,90.0,90.0
papier,3,161.0,158.0,52.667
buvez,3,109.0,106.0,35.333
admirablement,2,172.0,170.0,85.0
imprimés,1,173.0,172.0,172.0
grosses,2,83.0,81.0,40.5
lettres,1,38.0,37.0,37.0
facile,1,98.0,97.0,97.0
fine,1,176.0,175.0,175.0
obéir,2,123.0,121.0,60.5
aveuglette,1,79.0,78.0,78.0
examinons,1,289.0,288.0,288.0
poison,3,82.0,79.0,26.333
lu,4,77.0,73.0,18.25
jolis,3,97.0,94.0,31.333
petits,17,108.0,91.0,5.353
contes,2,101.0,99.0,49.5
enfants,8,140.0,132.0,16.5
brûlés,1,98.0,97.0,97.0
dévorés,1,79.0,78.0,78.0
bêtes,4,94.0,90.0,22.5
féroces,1,162.0,161.0,161.0
autres,32,174.0,142.0,4.438
désagréables,1,61.0,60.0,60.0
souvenus,1,115.0,114.0,114.0
instructions,1,93.0,92.0,92.0
simples,1,91.0,90.0,90.0
donnaient,1,55.0,54.0,54.0
parents,1,91.0,90.0,90.0
exemple,5,172.0,167.0,33.4
tisonnier,1,80.0,79.0,79.0
chauffé,1,38.0,37.0,37.0
brûle,1,162.0,161.0,161.0
mains,13,87.0,74.0,5.692
tiennent,1,123.0,122.0,122.0
longtemps,10,133.0,123.0,12.3
doigt,9,80.0,71.0,7.889
coupure,1,77.0,76.0,76.0
profonde,2,70.0,68.0,34.0
saigne,1,83.0,82.0,82.0
ordinaire,5,48.0,43.0,8.6
oublié,4,98.0,94.0,23.5
boit,1,88.0,87.0,87.0
immodérément,1,64.0,63.0,63.0
marquée,2,478.0,476.0,238.0
manque,2,162.0,160.0,80.0
brouiller,1,44.0,43.0,43.0
cœur,15,122.0,107.0,7.133
tôt,4,67.0,63.0,15.75
hasarda,5,143.0,138.0,27.6
goûter,1,93.0,92.0,92.0
contenu,1,155.0,154.0,154.0
trouvant,2,57.0,55.0,27.5
fort,29,198.0,169.0,5.828
mélange,2,87.0,85.0,42.5
tarte,1,174.0,173.0,173.0
cerises,1,67.0,66.0,66.0
crème,1,61.0,60.0,60.0
ananas,1,75.0,74.0,74.0
dinde,1,97.0,96.0,96.0
truffée,1,133.0,132.0,132.0
nougat,1,174.0,173.0,173.0
rôties,1,67.0,66.0,66.0
beurre,10,109.0,99.0,9.9
avalé,1,94.0,93.0,93.0
sens,9,83.0,74.0,8.222
dirait,5,173.0,168.0,33.6
rentre,2,87.0,85.0,42.5
ferme,2,329.0,327.0,163.5
arrivait,1,161.0,160.0,160.0
dix,6,49.0,43.0,7.167
éclair,1,91.0,90.0,90.0
visage,3,478.0,475.0,158.333
pensée,1,117.0,116.0,116.0
grandeur,8,79.0,71.0,8.875
voulue,1,181.0,180.0,180.0
pénétrer,3,174.0,171.0,57.0
attendit,8,91.0,83.0,10.375
pourtant,10,107.0,97.0,9.7
quelques,27,519.0,492.0,18.222
minutes,13,115.0,102.0,7.846
rapetisser,6,122.0,116.0,19.333
songez,2,97.0,95.0,47.5
finir,8,98.0,90.0,11.25
éteindre,1,38.0,37.0,37.0
chandelle,2,93.0,91.0,45.5
deviendrais,1,68.0,67.0,67.0
cherchait,7,108.0,101.0,14.429
imaginer,3,117.0,114.0,38.0
flamme,1,161.0,160.0,160.0
éteinte,1,181.0,180.0,180.0
rappelait,4,162.0,158.0,39.5
sorte,10,78.0,68.0,6.8
voyant,6,91.0,85.0,14.167
passait,2,78.0,76.0,38.0
décida,2,173.0,171.0,85.5
aller,15,127.0,112.0,7.467
suite,11,143.0,132.0,12.0
pauvre,21,120.0,99.0,4.714
arrivant,1,174.0,173.0,173.0
revint,4,181.0,177.0,44.25
bah,3,108.0,105.0,35.0
impossible,4,91.0,87.0,21.75
atteindre,2,121.0,119.0,59.5
voyait,7,173.0,166.0,23.714
clairement,3,80.0,77.0,25.667
fit,40,162.0,122.0,3.05
possible,6,120.0,114.0,19.0
grimper,1,80.0,79.0,79.0
glissant,2,104.0,102.0,51.0
enfin,22,107.0,85.0,3.864
épuisée,1,176.0,175.0,175.0
fatigue,1,87.0,86.0,86.0
enfant,19,123.0,104.0,5.474
assit,5,140.0,135.0,27.0
pleura,1,172.0,171.0,171.0
allons,11,173.0,162.0,14.727
pleurer,5,80.0,75.0,15.0
ainsi,21,123.0,102.0,4.857
vivement,15,289.0,274.0,18.267
conseille,1,123.0,122.0,122.0
mademoiselle,4,144.0,140.0,35.0
cesser,2,98.0,96.0,48.0
habitude,3,64.0,61.0,20.333
bons,1,120.0,119.0,119.0
conseils,2,40.0,38.0,19.0
suivît,1,120.0,119.0,119.0
rarement,1,181.0,180.0,180.0
grondait,1,92.0,91.0,91.0
larmes,11,144.0,133.0,12.091
venaient,6,117.0,111.0,18.5
donné,4,67.0,63.0,15.75
tapes,1,75.0,74.0,74.0
triché,1,116.0,115.0,115.0
partie,13,92.0,79.0,6.077
croquet,11,161.0,150.0,13.636
jouait,1,116.0,115.0,115.0
seule,6,161.0,155.0,25.833
étrange,7,138.0,131.0,18.714
aimait,3,174.0,171.0,57.0
personnages,2,64.0,62.0,31.0
moyen,6,55.0,49.0,8.167
présent,11,189.0,178.0,16.182
reste,12,176.0,164.0,13.667
boîte,2,120.0,118.0,59.0
petit,37,134.0,97.0,2.622
gâteau,4,55.0,51.0,12.75
lequel,8,161.0,153.0,19.125
mangez,2,155.0,153.0,76.5
tracés,1,44.0,43.0,43.0
raisins,1,138.0,137.0,137.0
corinthe,1,91.0,90.0,90.0
tiens,6,94.0,88.0,14.667
vais,20,120.0,100.0,5.0
manger,8,98.0,90.0,11.25
grandir,12,107.0,95.0,7.917
pourrai,4,120.0,116.0,29.0
ramper,1,99.0,98.0,98.0
pénétrerai,1,97.0,96.0,96.0
pourra,2,92.0,90.0,45.0
mangea,1,137.0,136.0,136.0
morceau,8,143.0,135.0,16.875
inquiète,1,289.0,288.0,288.0
grandissait,4,91.0,87.0,21.75
rapetissait,1,120.0,119.0,119.0
étonnée,2,142.0,140.0,70.0
franchement,2,189.0,187.0,93.5
souvent,10,97.0,87.0,8.7
lorsqu,14,94.0,80.0,5.714
mange,5,478.0,473.0,94.6
pris,4,64.0,60.0,15.0
paraissait,9,172.0,163.0,18.111
ennuyeux,1,121.0,120.0,120.0
stupide,1,176.0,175.0,175.0
vivre,4,174.0,170.0,42.5
œuvre,2,91.0,89.0,44.5
ii,1,55.0,54.0,54.0
mare,13,155.0,142.0,10.923
curieux,6,189.0,183.0,30.5
écria,13,75.0,62.0,4.769
surprise,5,117.0,112.0,22.4
exprimer,2,82.0,80.0,40.0
correctement,1,78.0,77.0,77.0
allonge,1,65.0,64.0,64.0
adieu,1,140.0,139.0,139.0
venait,11,143.0,132.0,12.0
baisser,3,181.0,178.0,59.333
semblaient,3,122.0,119.0,39.667
éloigner,1,68.0,67.0,67.0
perte,1,101.0,100.0,100.0
vue,4,116.0,112.0,28.0
pauvres,3,127.0,124.0,41.333
mettra,1,91.0,90.0,90.0
souliers,3,108.0,105.0,35.0
mignons,1,137.0,136.0,136.0
quant,7,143.0,136.0,19.429
certainement,7,198.0,191.0,27.286
loin,14,108.0,94.0,6.714
occuper,1,92.0,91.0,91.0
arrangez,1,55.0,54.0,54.0
pourrez,1,77.0,76.0,76.0
refuseront,1,117.0,116.0,116.0
voudrai,1,88.0,87.0,87.0
donnerai,1,82.0,81.0,81.0
paire,5,92.0,87.0,17.4
bottines,1,138.0,137.0,137.0
noël,1,138.0,137.0,137.0
chercha,2,107.0,105.0,52.5
esprit,8,101.0,93.0,11.625
prendrait,1,38.0,37.0,37.0
faudra,2,79.0,77.0,38.5
envoyer,4,91.0,87.0,21.75
messager,1,124.0,123.0,123.0
chose,40,104.0,64.0,1.6
présents,1,99.0,98.0,98.0
adresse,2,173.0,171.0,85.5
monsieur,2,123.0,121.0,60.5
lepiédroit,1,133.0,132.0,132.0
tapis,1,155.0,154.0,154.0
foyer,2,83.0,81.0,40.5
garde,4,95.0,91.0,22.75
feu,5,93.0,88.0,17.6
mlle,1,67.0,66.0,66.0
enfantillages,1,123.0,122.0,122.0
heurta,1,79.0,78.0,78.0
contre,13,98.0,85.0,6.538
neuf,5,142.0,137.0,27.4
saisit,1,86.0,85.0,85.0
courut,1,92.0,91.0,91.0
œil,6,127.0,121.0,20.167
fallait,6,143.0,137.0,22.833
honte,2,44.0,42.0,21.0
fille,6,143.0,137.0,22.833
finissez,4,88.0,84.0,21.0
continua,43,289.0,246.0,5.721
versant,1,134.0,133.0,133.0
torrents,1,121.0,120.0,120.0
fin,12,143.0,131.0,10.917
entourée,1,120.0,119.0,119.0
environ,7,155.0,148.0,21.143
étendant,2,49.0,47.0,23.5
jusqu,20,130.0,110.0,5.5
entendit,14,98.0,84.0,6.0
bruit,13,127.0,114.0,8.769
lointain,3,93.0,90.0,30.0
essuya,1,94.0,93.0,93.0
toilette,1,109.0,108.0,108.0
gants,10,98.0,88.0,8.8
paille,2,478.0,476.0,238.0
éventail,10,107.0,97.0,9.7
accourait,1,329.0,328.0,328.0
affairé,2,109.0,107.0,53.5
marmottant,1,123.0,122.0,122.0
entre,10,49.0,39.0,3.9
dents,3,138.0,135.0,45.0
duchesse,42,189.0,147.0,3.5
colère,15,78.0,63.0,4.2
malheureuse,3,67.0,64.0,21.333
disposée,1,83.0,82.0,82.0
secours,1,120.0,119.0,119.0
venu,3,86.0,83.0,27.667
voix,53,155.0,102.0,1.925
humble,2,130.0,128.0,64.0
timide,2,94.0,92.0,46.0
prie,12,109.0,97.0,8.083
tressaillit,3,98.0,95.0,31.667
épouvante,2,99.0,97.0,48.5
laissa,2,57.0,55.0,27.5
mit,33,173.0,140.0,4.242
disparut,4,92.0,88.0,22.0
ténèbres,1,93.0,92.0,92.0
ramassa,2,144.0,142.0,71.0
chaud,2,86.0,84.0,42.0
éventa,1,67.0,66.0,66.0
faisant,8,144.0,136.0,17.0
conversation,12,173.0,161.0,13.417
aujourd,6,78.0,72.0,12.0
hui,6,93.0,87.0,14.5
hier,3,143.0,140.0,46.667
passaient,1,143.0,142.0,142.0
changée,3,120.0,117.0,39.0
nuit,3,289.0,286.0,95.333
matin,5,117.0,112.0,22.4
levant,3,122.0,119.0,39.667
rappeler,2,155.0,153.0,76.5
trouvée,1,143.0,142.0,142.0
différente,2,94.0,92.0,46.0
embarras,2,98.0,96.0,48.0
revue,1,104.0,103.0,103.0
petites,10,120.0,110.0,11.0
filles,5,83.0,78.0,15.6
âge,6,80.0,74.0,12.333
connaissait,4,143.0,139.0,34.75
transformée,1,115.0,114.0,114.0
ada,1,98.0,97.0,97.0
longs,3,67.0,64.0,21.333
cheveux,5,91.0,86.0,17.2
bouclés,1,86.0,85.0,85.0
miens,1,97.0,96.0,96.0
frisent,1,93.0,92.0,92.0
assurément,6,172.0,166.0,27.667
mabel,7,138.0,131.0,18.714
plein,5,108.0,103.0,20.6
sait,1,94.0,93.0,93.0
énigme,2,189.0,187.0,93.5
souviendrai,2,86.0,84.0,42.0
cinq,8,80.0,72.0,9.0
douze,4,91.0,87.0,21.75
six,2,55.0,53.0,26.5
treize,1,54.0,53.0,53.0
sept,6,83.0,77.0,12.833
vingt,3,143.0,140.0,46.667
train,7,57.0,50.0,7.143
importe,5,162.0,157.0,31.4
multiplication,1,87.0,86.0,86.0
essayons,2,88.0,86.0,43.0
géographie,1,173.0,172.0,172.0
londres,1,117.0,116.0,116.0
capitale,3,107.0,104.0,34.667
paris,2,173.0,171.0,85.5
rome,2,78.0,76.0,38.0
sûre,6,127.0,121.0,20.167
tâcher,3,91.0,88.0,29.333
réciter,5,147.0,142.0,28.4
maître,10,198.0,188.0,18.8
corbeau,4,67.0,63.0,15.75
croisa,3,82.0,79.0,26.333
genoux,6,167.0,161.0,26.833
fable,2,97.0,95.0,47.5
rauque,2,140.0,138.0,69.0
présentaient,1,143.0,142.0,142.0
autrefois,4,121.0,117.0,29.25
arbre,7,133.0,126.0,18.0
perché,1,172.0,171.0,171.0
nid,2,80.0,78.0,39.0
branches,3,161.0,158.0,52.667
relevé,1,78.0,77.0,77.0
manches,1,107.0,106.0,106.0
renard,1,88.0,87.0,87.0
descendez,1,94.0,93.0,93.0
compère,1,87.0,86.0,86.0
venez,13,98.0,85.0,6.538
embrasser,1,98.0,97.0,97.0
frère,2,91.0,89.0,44.5
reconnaissant,1,91.0,90.0,90.0
répondit,34,106.0,72.0,2.118
ramage,1,123.0,122.0,122.0
fromage,1,130.0,129.0,129.0
remplirent,1,88.0,87.0,87.0
vilaine,1,120.0,119.0,119.0
maison,16,143.0,127.0,7.938
jouets,1,198.0,197.0,197.0
